,bc_small_dataset_0,bc_small_dataset_1,bc_small_dataset_2,bc_small_dataset_3,bc_small_dataset_4,bc_small_dataset_5,bc_small_dataset_6,bc_small_dataset_7,bc_small_dataset_8,bc_small_dataset_9,bc_small_dataset_10,bc_small_dataset_11,bc_small_dataset_12,bc_small_dataset_13,avg_rank
XGBoost,1.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,11.0,2.0,7.0,3.0,2.857142857142857
Trompt,5.0,1.0,1.0,3.0,4.0,4.0,5.0,3.0,4.0,3.0,5.0,1.0,1.0,6.0,3.2857142857142856
LightGBM,1.0,13.0,2.0,2.0,1.0,1.0,1.0,4.0,2.0,1.0,11.0,2.0,7.0,1.0,3.5
ExcelFormer,6.0,1.0,5.0,4.0,3.0,2.0,6.0,1.0,3.0,4.0,3.0,4.0,7.0,4.0,3.7857142857142856
CatBoost,3.0,1.0,6.0,11.0,4.0,5.0,3.0,6.0,5.0,11.0,2.0,7.0,13.0,2.0,5.642857142857143
FTTransformer,6.0,1.0,3.0,9.0,8.0,8.0,8.0,5.0,9.0,10.0,6.0,6.0,1.0,9.0,6.357142857142857
ResNet,9.0,1.0,7.0,6.0,9.0,6.0,8.0,11.0,6.0,6.0,3.0,8.0,1.0,11.0,6.571428571428571
FTTransformerBucket,11.0,13.0,8.0,4.0,6.0,6.0,4.0,7.0,9.0,9.0,10.0,4.0,7.0,7.0,7.5
MLP,12.0,1.0,10.0,6.0,12.0,11.0,7.0,9.0,11.0,5.0,9.0,11.0,1.0,12.0,8.357142857142858
TabPerceiverMultiTask_1,4.0,1.0,14.0,14.0,7.0,9.0,11.0,13.0,14.0,13.0,1.0,9.0,12.0,5.0,9.071428571428571
TabNet,13.0,1.0,12.0,8.0,11.0,13.0,8.0,7.0,8.0,14.0,6.0,14.0,1.0,12.0,9.142857142857142
MemPerceiver,10.0,12.0,11.0,10.0,10.0,10.0,14.0,10.0,12.0,8.0,13.0,10.0,6.0,10.0,10.428571428571429
TabPerceiver,8.0,11.0,9.0,12.0,13.0,12.0,12.0,12.0,7.0,12.0,8.0,12.0,11.0,8.0,10.5
TabTransformer,14.0,1.0,13.0,13.0,14.0,14.0,13.0,14.0,13.0,7.0,14.0,13.0,14.0,14.0,12.214285714285714
