,bc_small_dataset_0,bc_small_dataset_1,bc_small_dataset_2,bc_small_dataset_3,bc_small_dataset_4,bc_small_dataset_5,bc_small_dataset_6,bc_small_dataset_7,bc_small_dataset_8,bc_small_dataset_9,bc_small_dataset_10,bc_small_dataset_11,bc_small_dataset_12,bc_small_dataset_13,bc_medium_dataset_0,bc_medium_dataset_1,bc_medium_dataset_2,bc_medium_dataset_3,bc_medium_dataset_4,bc_medium_dataset_5,bc_medium_dataset_6,bc_medium_dataset_7,bc_medium_dataset_8,bc_large_dataset_0,multi_medium_dataset_0,multi_medium_dataset_1,multi_medium_dataset_2,multi_medium_dataset_3,multi_medium_dataset_4,multi_medium_dataset_5,multi_large_dataset_0,multi_large_dataset_1,multi_large_dataset_2,reg_small_dataset_0,reg_small_dataset_1,reg_small_dataset_2,reg_small_dataset_3,reg_small_dataset_4,reg_small_dataset_5,reg_small_dataset_6,reg_small_dataset_7,reg_small_dataset_8,reg_small_dataset_9,reg_small_dataset_10,reg_small_dataset_11,reg_small_dataset_12,reg_medium_dataset_0,reg_medium_dataset_1,reg_medium_dataset_2,reg_medium_dataset_3,reg_medium_dataset_4,reg_medium_dataset_5,reg_large_dataset_0,reg_large_dataset_1,reg_large_dataset_2,reg_large_dataset_3,reg_large_dataset_4,reg_large_dataset_5
XGBoost,0.931,1.0,0.94,0.947,0.885,0.966,0.862,0.779,0.984,0.714,0.787,0.951,0.999,0.925,0.594,0.955,0.653,0.986,0.721,0.998,0.868,0.888,0.803,0.792,0.966,,,,,,,,,0.25,0.038,0.187,0.475,0.328,0.401,0.249,0.363,0.904,0.056,0.82,0.857,0.418,0.663,0.014,0.089,0.14,0.539,0.9,0.966,,,,,
CatBoost,0.93,1.0,0.938,0.924,0.881,0.963,0.861,0.772,0.93,0.628,0.796,0.948,0.998,0.926,0.631,0.956,0.649,0.986,0.719,0.987,0.863,0.896,0.803,0.788,0.971,,,,,,,,,0.265,0.062,0.128,0.336,0.346,0.443,0.375,0.273,0.881,0.04,0.756,0.876,0.439,0.669,0.018,0.092,0.145,0.549,0.898,0.971,,,,,
LightGBM,0.931,0.999,0.943,0.943,0.887,0.972,0.862,0.774,0.979,0.732,0.787,0.951,0.999,0.927,0.639,0.955,0.652,0.986,0.723,0.997,0.881,0.914,0.809,0.831,0.965,,,,,,,,,0.253,0.054,0.112,0.302,0.325,0.384,0.295,0.272,0.877,0.011,0.702,0.863,0.395,0.66,0.015,0.085,0.141,0.524,0.895,0.965,,,,,
Trompt,0.919,1.0,0.945,0.942,0.881,0.964,0.855,0.778,0.933,0.686,0.793,0.952,1.0,0.916,,0.95,0.652,0.982,0.716,0.966,0.882,0.883,0.705,0.822,0.97,,,,0.796,0.799,,0.889,0.804,0.261,0.015,0.118,0.262,0.323,0.418,0.329,0.312,,0.008,0.779,0.874,0.424,,0.014,0.092,0.14,0.537,0.901,0.97,,,,0.796,0.799
ResNet,0.917,1.0,0.937,0.938,0.865,0.96,0.828,0.768,0.925,0.665,0.794,0.946,1.0,0.911,0.637,0.948,0.649,0.983,0.705,0.989,0.871,0.89,0.719,0.831,0.969,0.976,0.655,0.88,0.757,0.772,0.892,0.999,0.915,0.288,0.018,0.124,0.268,0.335,0.434,0.325,0.324,0.895,0.036,0.794,0.875,0.468,0.676,0.016,0.101,0.147,0.555,0.903,0.969,0.976,0.655,0.88,0.757,0.772
MLP,0.913,1.0,0.934,0.938,0.863,0.953,0.83,0.769,0.903,0.666,0.789,0.94,1.0,0.91,0.634,0.946,0.65,0.978,0.699,0.991,0.869,0.883,0.727,0.824,0.973,0.98,0.681,0.908,0.792,0.81,0.77,0.549,0.895,0.3,0.141,0.125,0.272,0.348,0.435,0.331,0.38,0.893,0.017,0.784,0.881,0.467,0.68,0.016,0.105,0.14,0.558,0.905,0.973,0.98,0.681,0.908,0.792,0.81
FTTransformerBucket,0.915,0.999,0.936,0.939,0.876,0.96,0.857,0.771,0.909,0.636,0.788,0.95,0.999,0.913,0.637,0.947,0.649,0.986,0.651,0.832,0.866,0.877,0.688,0.825,0.97,0.977,0.776,0.896,0.785,0.808,0.897,0.502,0.888,0.325,0.096,0.36,0.284,0.342,0.441,0.345,0.339,,0.105,0.807,0.885,0.468,0.738,0.023,0.113,0.147,0.545,0.908,0.97,0.977,0.776,0.896,0.785,0.808
ExcelFormer,0.918,1.0,0.939,0.939,0.883,0.969,0.833,0.78,0.94,0.67,0.794,0.95,0.999,0.919,,0.948,0.651,0.982,0.716,0.995,0.879,0.883,0.814,0.842,0.969,0.978,0.649,,,0.782,,0.999,0.951,0.262,0.099,0.128,0.264,0.331,0.411,0.298,0.308,,0.011,0.785,0.89,0.431,0.667,0.015,0.09,0.142,0.526,0.901,0.969,0.978,0.649,,,0.782
FTTransformer,0.918,1.0,0.94,0.936,0.874,0.959,0.828,0.773,0.909,0.635,0.79,0.949,1.0,0.912,0.632,0.946,0.652,0.981,0.704,0.984,0.871,0.878,0.713,0.835,0.969,0.975,0.67,0.888,,0.788,0.872,0.54,0.908,0.335,0.161,0.14,0.277,0.335,0.445,0.361,0.345,,0.106,0.826,0.896,0.461,0.673,0.056,0.119,0.141,0.561,0.907,0.969,0.975,0.67,0.888,,0.788
TabNet,0.911,1.0,0.931,0.937,0.864,0.944,0.828,0.771,0.913,0.606,0.79,0.936,1.0,0.91,0.628,0.945,0.65,0.977,0.706,0.993,0.862,0.889,0.797,0.837,0.968,0.974,0.655,0.891,0.767,0.784,0.912,0.995,0.919,0.279,0.224,0.141,0.275,0.348,0.451,0.355,0.332,0.992,0.015,0.805,0.885,0.544,0.683,0.024,0.115,0.14,0.549,0.899,0.968,0.974,0.655,0.891,0.767,0.784
